paper_id,title,doi,doi_url,venue,year
1858371f4c44,Autonomous Quantum Agents for Portfolio Optimization: Orchestrating QAOA Workflows on Cloud Quantum Simulators,10.13140/rg.2.2.10881.31842,https://doi.org/10.13140/rg.2.2.10881.31842,,2026
1b63c3136291,A Comparative Study of Quantum Optimization Techniques for Solving Combinatorial Optimization Benchmark Problems,,,,2025
1bc4675bdbc6,Discrete-Time Quantum Walk of a Bose-Einstein Condensate in Momentum Space,,,SHAREOK (University of Oklahoma; Oklahoma State University; Central Oklahoma University),2018
1d16f793a68b,Quantum neural network for continuous variable prediction,,,,2022
1dc251ce8c53,Extrapolation method to optimize linear-ramp quantum approximate optimization algorithm parameters: dataset,10.5281/zenodo.18302992,https://doi.org/10.5281/zenodo.18302992,Zenodo (CERN European Organization for Nuclear Research),2026
2291b049d70f,Application of Quantum Computing in Discrete Portfolio Optimization,10.2139/ssrn.4130879,https://doi.org/10.2139/ssrn.4130879,SSRN Electronic Journal,2022
250a9d44ef66,Quantum Computing: Algorithms and Applications in Optimization Problems,10.36676/jqst.v1.i2.11,https://doi.org/10.36676/jqst.v1.i2.11,Journal of Quantum Science and Technology.,2024
251a3166cf94,hgribeirogeo/qaoa-carbon-cerrado: v1.0 - Initial Release for Quantum Journal Submission,10.5281/zenodo.18418054,https://doi.org/10.5281/zenodo.18418054,Zenodo (CERN European Organization for Nuclear Research),2026
258cef4e076f,Navigating optimization and security challenges in the AI-driven digital economy: from classical limits to quantum solutions,10.1049/icp.2025.2981,https://doi.org/10.1049/icp.2025.2981,IET conference proceedings.,2025
292400fdfae6,Quantum algorithms for differential equations in finance and physics,,,Communities in ADDI (University of the Basque Country),2025
296dd193c78f,A framework to evaluate the performance of Variational Quantum Algorithms,,,,2026
2abf80ef91e3,Optimizing Hybrid Quantum-Classical Models Using Parameterized Quantum Circuits for Time-Series Forecasting,10.36227/techrxiv.175295886.67877890/v1,https://doi.org/10.36227/techrxiv.175295886.67877890/v1,,2025
2ae3455aa47b,Variational Quantum Algorithms: From Theory to NISQ-Era Applications Challenges and Opportunities,10.20944/preprints202508.1482.v1,https://doi.org/10.20944/preprints202508.1482.v1,Preprints.org,2025
2b4dc3c2ba75,Quantum Algorithms for Stochastic Differential Equations: Achieving Polynomial and Super-Polynomial Speedups for High-Dimensional Systems,10.22541/au.176764501.12582212/v1,https://doi.org/10.22541/au.176764501.12582212/v1,,2026
2e35d78fa802,Solving Subset Sum Problems using Binary Optimization with Applications in Auditing and Financial Data Analysis,10.36227/techrxiv.18994160,https://doi.org/10.36227/techrxiv.18994160,,2022
2fa8a733b41d,Realization of a quantum walk in momentum space with a Bose-Einstein condensate,,,arXiv (Cornell University),2018
30582038a7ba,Periodic Unitary Encoding for Quantum Anomaly Detection of Temporal Series,10.5220/0013537800004525,https://doi.org/10.5220/0013537800004525,IQSOFT,2025
311bac170c43,Application of Quantum Computing in Optimization Problems,10.31713/mcit.2024.033,https://doi.org/10.31713/mcit.2024.033,Modeling Control and Information Technologies,2024
32be27773fc7,Training Knowledge Transfer for Adaptive Portfolio Rebalancing Based on Trend Ratio with Quantum-inspired Optimization System,,,Journal of the Association for Information Systems,2025
32f23740c07f,hgribeirogeo/qaoa-carbon-cerrado: v2.0 - Seven-Run Validation Study,10.5281/zenodo.18418053,https://doi.org/10.5281/zenodo.18418053,Zenodo (CERN European Organization for Nuclear Research),2026
32f6aa86e556,Quantum Finance Optimization Qubits (QFOQ): An Approach to Accelerate Financial Model Testing,10.2139/ssrn.5007468,https://doi.org/10.2139/ssrn.5007468,SSRN Electronic Journal,2025
3453ddc0d7db,Numerical solution of boundary value problems using quantum computing system,10.1504/ijsse.2025.151321,https://doi.org/10.1504/ijsse.2025.151321,International Journal of System of Systems Engineering,2025
394db2cbf8da,Quantum Approximate Optimization Algorithm for Portfolio Selection: A Comparative Study with Classical Markowitz Optimization,10.2139/ssrn.5793303,https://doi.org/10.2139/ssrn.5793303,SSRN Electronic Journal,2026
3a3ba897009d,QAOA applied to the portfolio optimization problem,,,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),2023
3bd0da5c69ac,"PREreview of ""The Inverse Born Rule Fallacy: On the Informational Limits of Phase-Locked Amplitude Encoding""",10.5281/zenodo.18793265,https://doi.org/10.5281/zenodo.18793265,Zenodo (CERN European Organization for Nuclear Research),2026
3f4c5ad6749d,Quantum unary approach to option pricing,10.1103/PHYSREVA.103.032414,https://doi.org/10.1103/PHYSREVA.103.032414,Physical Review A,2019
3f8ab7317ca4,Extrapolation method to optimize linear-ramp quantum approximate optimization algorithm parameters: Evaluation of runtime scaling,10.1103/l5r4-zcqv,https://doi.org/10.1103/l5r4-zcqv,"Physical review. A/Physical review, A",2026
40ca827d69b9,FRAUD DETECTION USING RESTRICTED BOLTZMANN MACHINES ASSISTED BY QUANTUM COMPUTING,10.17771/pucrio.acad.73105,https://doi.org/10.17771/pucrio.acad.73105,,2025
4255cabe0f56,Quantum Algorithm for Option Pricing,10.1007/978-981-19-7517-2_14,https://doi.org/10.1007/978-981-19-7517-2_14,,2023
455f0fa41521,Research on the Design of Financial Data Analysis Platform with Joint PSO-HQCNN and RPA Robot Visualization Technology,10.5573/ieiespc.2024.10.13.5.472,https://doi.org/10.5573/ieiespc.2024.10.13.5.472,IEIE Transactions on Smart Processing and Computing,2024
45bb659a6bb7,The Quantum Future of Finance Applications,10.4018/979-8-3373-2893-5.ch003,https://doi.org/10.4018/979-8-3373-2893-5.ch003,,2025
46e6281cc0ea,A quantum feature selection framework via ground state preparation,10.1088/1402-4896/ad0184,https://doi.org/10.1088/1402-4896/ad0184,Physica Scripta,2023
4dbaf2b286bf,A Noisy Optimization mechanism for variational quantum classifiers,10.1016/j.knosys.2026.115659,https://doi.org/10.1016/j.knosys.2026.115659,Knowledge-Based Systems,2026
4dc6746d80a2,Uncertainty and symmetry bound for the total detection probability of quantum walks,,,arXiv (Cornell University),2019
4de005c12725,Automated Function Implementation via Conditional Parameterized Quantum Circuits with Applications to Finance,,,,2023
53d70155ce82,Chapter 5 From evolution to revolution: the contemporary development of quantum computing,10.1515/9783110791402-005,https://doi.org/10.1515/9783110791402-005,,2023
55025d58c227,Recursive Quantum Decoherence and Classical Emergence Simulator,10.5281/zenodo.18978473,https://doi.org/10.5281/zenodo.18978473,Zenodo (CERN European Organization for Nuclear Research),2026
57a58ac6ea72,Mathematical Foundations of Quantum Linear Regression: A Proof of Concept via Variational Hamiltonian Formulation,10.36227/techrxiv.175099726.66124047/v1,https://doi.org/10.36227/techrxiv.175099726.66124047/v1,,2025
5f0d1c12d9b5,The Prospects for Applications of Quantum Computing in the Financial Sector,10.4324/9781003501947-7,https://doi.org/10.4324/9781003501947-7,Productivity Press eBooks,2025
615067f0066c,Hybrid Quantum-Classical Portfolio Optimization Leveraging Counterdiabatic Annealing and Quantum Risk Factors,10.36227/techrxiv.175795525.59311374/v1,https://doi.org/10.36227/techrxiv.175795525.59311374/v1,,2025
62e5c8b6b617,"Integration of Hybrid Quantum–Neuromorphic AI With Cloud, Edge, and High-Performance Computing Environments",10.4018/979-8-3373-7779-7.ch007,https://doi.org/10.4018/979-8-3373-7779-7.ch007,Advances in computational intelligence and robotics book series,2026
63af985e2b4e,"Quantum-enhanced stock market prediction: Integrating AI, sentiment analysis, and multimodal data fusion",10.1201/9781003685876-7,https://doi.org/10.1201/9781003685876-7,,2025
64111b3b5d61,AI &amp; Quantum Computing for Finance &amp; Insurance,10.1142/11371,https://doi.org/10.1142/11371,Singapore University of Social Sciences - World Scientific future economy series,2019
64bdec61d4fd,Quantum Portfolio Rebalancing Algorithm (QPRA): An Integrating Quantum Computing and AI for Dynamic Portfolio Optimization,10.2139/ssrn.5004146,https://doi.org/10.2139/ssrn.5004146,SSRN Electronic Journal,2025
66b4a51889c0,Quantum 2-Player Games and Realizations with Circuits,10.34133/research.0480,https://doi.org/10.34133/research.0480,Research,2024
66f18ee7b813,An efficient quantum algorithm for independent component analysis,10.1088/1367-2630/ad5e16,https://doi.org/10.1088/1367-2630/ad5e16,New Journal of Physics,2024
68b9ec9dea63,Quantum-Enhanced Temporal Embeddings via a Hybrid Seq2Seq Architecture,,,ArXiv.org,2026
69b8b36d8aad,"A Quantum Risk Management Framework (QRMF): Quantum Amplitude Estimation for VaR/CVaR, Entanglement-Based Systemic Risk Analytics, and Variational Risk Optimization",10.20944/preprints202510.0505.v1,https://doi.org/10.20944/preprints202510.0505.v1,Preprints.org,2025
6b2b4f6ba298,"&lt;div&gt; Multiplicative-Weights Methods and Gibbs-State Preparation for Conic Portfolio Optimization:&amp;nbsp;&lt;/div&gt;&lt;div&gt; A Mathematical Framework Connecting Quantum Algorithms, Jordan Algebras, and Quantitative Finance&lt;/div&gt;",10.2139/ssrn.6103666,https://doi.org/10.2139/ssrn.6103666,SSRN Electronic Journal,2026
6bbc4a2d4a89,Quantum Computing Applications,10.1201/9781003499459-3,https://doi.org/10.1201/9781003499459-3,Auerbach Publications eBooks,2025
6e0380dce3b2,Accelerating Quantum Monte Carlo Calculations with Set-Equivariant Architectures and Transfer Learning,,,arXiv,2025
6fe2aeb67e66,Quantum Computing,10.1002/9781119777465.ch4,https://doi.org/10.1002/9781119777465.ch4,,2022
7301808f6d01,Emerging Technologies in Financial Process Optimization and Risk Management,10.4018/979-8-3693-4369-2.ch002,https://doi.org/10.4018/979-8-3693-4369-2.ch002,IGI Global eBooks,2025
740ccc3ae6f8,advanced_quantum_monte_carlo.py — Quantum Amplitude Estimation Classical Benchmark for Finance,10.5281/zenodo.18079567,https://doi.org/10.5281/zenodo.18079567,Zenodo (CERN European Organization for Nuclear Research),2025
7540346e79ad,algorithmic_trading_vqe.py — Disruptive VQE-Inspired Trading Strategy Optimizer,10.5281/zenodo.18015135,https://doi.org/10.5281/zenodo.18015135,Zenodo (CERN European Organization for Nuclear Research),2025
76ee9fd77e4e,Quantum alternating operator ansatz with PSO optimizer for portfolio optimization problem,10.1016/j.asoc.2025.113419,https://doi.org/10.1016/j.asoc.2025.113419,Applied Soft Computing,2025
778a06edc7f8,Quantum Interference Effects in Social Decision-Making,10.6914/qss.010102,https://doi.org/10.6914/qss.010102,Quantum Social Science,2025
7b4855a804c1,Quantum Computations and Option Pricing,10.1142/9789811263699_0027,https://doi.org/10.1142/9789811263699_0027,Looking Beyond the Frontiers of Science Dedicated to the 80th Birthday of K K Phua,2022
7ea4faff382d,Quantum Enabled-Algorithms and Market Prediction and Execution for Ultra-Low-Latency High-Frequency Trading in Global Markets,10.25397/f3ys-jj93,https://doi.org/10.25397/f3ys-jj93,,2026
7f91dcfbca63,"Quantum-inspired anomaly detection, a QUBO formulation",,,,2023
80690e1e30a0,Real-Time Threat Mitigation in Financial IT Infrastructures Using Quantum Computing,10.24425/ijet.2025.153578,https://doi.org/10.24425/ijet.2025.153578,International Journal of Electronics and Telecommunications,2025
81146d2c9f2a,Quantum-Enhanced Smart Computing Framework for Sustainable Credit Risk Decision Communication,10.4018/979-8-3373-3541-4.ch013,https://doi.org/10.4018/979-8-3373-3541-4.ch013,,2025
814040fcfdb1,Financial Portfolio Optimization Method Based on the Quantum Linear Discriminant Analysis,10.12178/1001-0548.2022109,https://doi.org/10.12178/1001-0548.2022109,Dianzi Keji Daxue Xuebao Journal of the University of Electronic Science and Technology of China,2023
86891f250a78,Quantum machine learning on near-term quantum devices: Current state of supervised and unsupervised techniques for real-world applications,10.1103/physrevapplied.21.067001,https://doi.org/10.1103/physrevapplied.21.067001,Physical Review Applied,2024
885002fa235e,Exploring Quantum Challenges and Opportunities of Quantum Machine Learning Adoption in Finance,10.4018/979-8-3693-8186-1.ch017,https://doi.org/10.4018/979-8-3693-8186-1.ch017,"Advances in finance, accounting, and economics book series",2025
89a54b4268bd,qaoa_portfolio_optimization.py — QAOA Benchmark for Cardinality-Constrained Portfolio Selection,10.5281/zenodo.18079636,https://doi.org/10.5281/zenodo.18079636,Zenodo (CERN European Organization for Nuclear Research),2025
8a2a16ffc826,FORECASTING STOCK MARKET CRASHES VIA REAL-TIME RECESSION PROBABILITIES: A QUANTUM COMPUTING APPROACH,10.1142/s0218348x22401624,https://doi.org/10.1142/s0218348x22401624,Fractals,2022
8bb680c2fb8b,Quantum computing: Challenges and opportunities,,,Cascon 2019 Proceedings Conference of the Centre for Advanced Studies on Collaborative Research Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering,2020
8d58112a9617,portfolio_optimizer.py — Disruptive Quantum-Inspired Portfolio Optimizer,10.5281/zenodo.18013468,https://doi.org/10.5281/zenodo.18013468,Zenodo (CERN European Organization for Nuclear Research),2025
8d9fbaf6510b,A time-Series Model Based on Quanntum Walk in terms of Quantum Bernoulli Noise,10.31873/ijeas.5.10.17,https://doi.org/10.31873/ijeas.5.10.17,International Journal of Engineering and Applied Sciences (IJEAS),2018
8e431c2a2616,BQ-Bank: A Quantum Software for Finance and Banking,10.1155/2023/7810974,https://doi.org/10.1155/2023/7810974,Quantum Engineering,2023
8fccc6cb2db6,Quantum on the money [quantum computing in financial services sector],10.1049/et.2019.0401,https://doi.org/10.1049/et.2019.0401,Engineering & Technology,2019
8feb8231bb32,ntegrating Quantum-Inspired Principles into Financial Data Science: Optimizing Reservoir Computing Models,10.55041/ijsrem36112,https://doi.org/10.55041/ijsrem36112,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,2024
90c55cffbb52,Hybrid quantum–cloud framework for nonlinear clustering optimization and intelligent resource management,10.31838/rna/2025.08.03.007,https://doi.org/10.31838/rna/2025.08.03.007,Results in Nonlinear Analysis,2025
91e1bc2b1a72,Quantum Computing for Refinery Feedstock Optimization and Beyond,10.2523/iptc-25262-ms,https://doi.org/10.2523/iptc-25262-ms,IPTC Summit on AI for the Energy Industry,2026
963ca4c12a61,Quantum Risk Modeling Redefining Actuarial Science with Quantum Algorithms,10.64206/9pden248,https://doi.org/10.64206/9pden248,"Journal of Science, Technology and Engineering Research",2024
99b07636e459,Experimental implementation of quantum-walk-based portfolio optimization,10.1088/2058-9565/ad27e9,https://doi.org/10.1088/2058-9565/ad27e9,Quantum Science and Technology,2024
9a4ba980a229,Quantum Approaches to NP-Hard Combinatorial Optimization Problems: A Review,10.5281/zenodo.18194156,https://doi.org/10.5281/zenodo.18194156,Zenodo (CERN European Organization for Nuclear Research),2025
9abc38e76aec,Quantum Computing and Its Implications for Theoretical and Applied Economics: From Shor’s Algorithm to Models of Uncertainty,10.63711/ijdr.net20250401,https://doi.org/10.63711/ijdr.net20250401,International Journal of Digital Research,2025
9c8acfa3bc72,Hybrid Quantum-Classical Support Vector Machines for Financial Regime Detection: Performance and Efficiency Evaluation,10.2139/ssrn.5707104,https://doi.org/10.2139/ssrn.5707104,SSRN Electronic Journal,2025
9ea18a0e8bfd,Quantum Graph Partitioning Delays Cascade Failure Phase Transition in Financial Networks,10.2139/ssrn.3968261,https://doi.org/10.2139/ssrn.3968261,SSRN Electronic Journal,2021
9ecabb9df454,Quantum Risk Modeling: Theoretical Frameworks for Financial Uncertainty Quantification,10.26434/chemrxiv-2025-52tpl,https://doi.org/10.26434/chemrxiv-2025-52tpl,,2025
9f2d4ce48167,Financial fraud detection with entropy quantum optimization versus classical machine learning,10.1117/12.3066304,https://doi.org/10.1117/12.3066304,,2025
a01f6e902e50,Design and Implementation of a Quantum Computing-Based Financial Portfolio Optimization System,10.2139/ssrn.5086647,https://doi.org/10.2139/ssrn.5086647,Social Science Research Network,2025
a143717759af,Reverse Stress Testing in Banking,10.1515/9783110647907,https://doi.org/10.1515/9783110647907,,2021
a19de5d705c8,Quantum walk option pricing model based on binary tree,10.1016/j.physa.2024.130205,https://doi.org/10.1016/j.physa.2024.130205,Physica A: Statistical Mechanics and its Applications,2024
a426a8634e23,Analyzing Perceptron Algorithm for Global Gold Price Prediction using Quantum Computing Approach,10.22219/kinetik.v10i1.2024,https://doi.org/10.22219/kinetik.v10i1.2024,Kinetik,2025
a4c29a22413b,Quantum Circuit Learning to Compute Option Prices and Their Sensitivities,10.2139/ssrn.3922040,https://doi.org/10.2139/ssrn.3922040,SSRN Electronic Journal,2021
a4cb146201fc,Quantum propensity in economics,,,arXiv,2021
a603e283e0cf,Empowering Sustainable Finance Through Education and Awareness: Fostering Responsible AI and Quantum Computing Usage for Enhanced ESG Analysis,10.1002/9781394389070.ch16,https://doi.org/10.1002/9781394389070.ch16,Adaptive Artificial Intelligence Fundamentals Challenges and Applications,2025
a801ca3560e0,Quantum Machine Learning: An Application of Quantum Support Vector Machines for Financial Data Classification,10.2139/ssrn.5172167,https://doi.org/10.2139/ssrn.5172167,SSRN Electronic Journal,2025
aa5b834c3a1d,Antifragile Quantum-Semantic Systems via CVaR-POVM &amp; Riemannian Memory Manifolds,10.22541/au.176599457.78410478/v1,https://doi.org/10.22541/au.176599457.78410478/v1,,2025
aa6714606396,Quantum Computing and Industry Transformation,10.1201/9781003587835-12,https://doi.org/10.1201/9781003587835-12,Auerbach Publications eBooks,2026
ab43aaeed4af,Impact of quantum computing on current technologies,10.23919/cisti54924.2022.9820248,https://doi.org/10.23919/cisti54924.2022.9820248,Iberian Conference on Information Systems and Technologies,2022
ab8ec0885239,A Hybrid Quantum-Classical Simulation Architecture for Catastrophe Tail Risk and Reinsurance Portfolio Optimization&amp;nbsp;,10.2139/ssrn.6295999,https://doi.org/10.2139/ssrn.6295999,SSRN Electronic Journal,2026
ad79bfb0cfd8,Quantum Machine Learning for Secure Financial Forecasting: Mitigating Data Breaches and Adversarial Exploits,10.9734/ajrcos/2025/v18i4613,https://doi.org/10.9734/ajrcos/2025/v18i4613,Asian Journal of Research in Computer Science,2025
ae4cc7b70669,Artificial Intelligence and Quantum Computing Techniques for Stock Market Predictions,10.1002/9781394214334.ch5,https://doi.org/10.1002/9781394214334.ch5,,2024
ae6ef4dd0465,Quantum Computing and Algorithms in Financial Applications,10.4018/979-8-3373-2893-5.ch008,https://doi.org/10.4018/979-8-3373-2893-5.ch008,,2025
aeba35e547c4,"Efficient Evaluation of Exponential and Gaussian Functions on a Quantum Computer, with Application to Quantum Computational Chemistry and Quantum Finance",,,,2023
af45ea1743f6,A Hybrid Quantum Wasserstein GAN with Applications to Option Pricing,10.2139/ssrn.4514510,https://doi.org/10.2139/ssrn.4514510,SSRN Electronic Journal,2023
b0f18b08964e,Quantum computing and financial risk management: A theoretical review and implications,10.51594/csitrj.v5i6.1194,https://doi.org/10.51594/csitrj.v5i6.1194,Computer Science &amp; IT Research Journal,2024
b1aad69bad2c,Quantum-Driven Paradigms: Pioneering Artificial Intelligence Beyond Classical Borders,10.25397/pg0d-8b42,https://doi.org/10.25397/pg0d-8b42,,2026
b2cc85a6587a,QCC Echo: Redacted Results-Only Verification and Hardware Match Summary,10.5281/zenodo.17527845,https://doi.org/10.5281/zenodo.17527845,Zenodo (CERN European Organization for Nuclear Research),2025
b3543c214d69,Quantum-enhanced Versus Classical Support Vector Machine: An Application to Stock Index Forecasting,10.2139/ssrn.4630419,https://doi.org/10.2139/ssrn.4630419,SSRN Electronic Journal,2023
b4c593efacfa,Quantum Strategies in Finance,10.4018/979-8-3373-2893-5.ch012,https://doi.org/10.4018/979-8-3373-2893-5.ch012,,2025
b524b2fc9631,Classical and quantum computing methods for estimating loan-level risk distributions,10.1080/01605682.2022.2115415,https://doi.org/10.1080/01605682.2022.2115415,Journal of the Operational Research Society,2022
b6835993edd2,quantum_monte_carlo_pricer.py — Disruptive Quantum-Inspired Option Pricing Engine,10.5281/zenodo.18013315,https://doi.org/10.5281/zenodo.18013315,Zenodo (CERN European Organization for Nuclear Research),2025
b7810a7c699b,A quantum neural network with built-in self-attention mechanism,10.1016/j.neucom.2026.132862,https://doi.org/10.1016/j.neucom.2026.132862,Neurocomputing,2026
b9793b3d8619,Integrated Photonic Computing Chip For Unary-Based Option Pricing,10.1364/ofc.2024.w1f.3,https://doi.org/10.1364/ofc.2024.w1f.3,Optical Fiber Communications Conference and Exhibition,2024
b9898808569b,Empirical Evaluation of Quantum Kernel Learning for Sector Rotation Prediction: Using Fama–French 10 Industry Portfolios,10.20944/preprints202602.0745.v1,https://doi.org/10.20944/preprints202602.0745.v1,Preprints.org,2026
b9bbd2d099f0,"Quantum Binomial Tree, An Effective Method for Probability Distribution Loading for Derivative Pricing",10.54946/wilm.12175,https://doi.org/10.54946/wilm.12175,Wilmott,2025
ba5afbcce6b8,Quantum Machine Learning and Optimisation in Finance,10.1080/14697688.2024.2375260,https://doi.org/10.1080/14697688.2024.2375260,Quantitative finance (Print),2024
bb6213c444b0,Quantum Finance Unleashed,10.4018/979-8-3373-2893-5.ch001,https://doi.org/10.4018/979-8-3373-2893-5.ch001,,2025
bc8d838c7545,Short Communication: A Quantum Algorithm for Linear PDEs Arising in Finance,10.1137/21m1397878,https://doi.org/10.1137/21m1397878,SIAM Journal on Financial Mathematics,2021
bcfb2bcd887f,Adaptive Quantum Entanglement Networks for Real-Time Financial Fraud Detection: A Novel Framework with Temporal Correlation Analysis,10.36227/techrxiv.175750771.12895702/v1,https://doi.org/10.36227/techrxiv.175750771.12895702/v1,,2025
bf1f4204b1e6,Quantum advantage of Monte Carlo option pricing,10.1088/2399-6528/acd2a4,https://doi.org/10.1088/2399-6528/acd2a4,Journal of Physics Communications,2023
c43d47985bee,Applications of Quantum Machine Learning in Financial Services,10.1201/9781003558279-8,https://doi.org/10.1201/9781003558279-8,Apple Academic Press eBooks,2025
c459e5fdfbdc,Evaluating Quantum Computing's Potential for Financial Engineering Optimisation,10.1201/9781003596721-10,https://doi.org/10.1201/9781003596721-10,,2024
c7451962353b,QUANTUM COMPUTING IN FINANCIAL RISK MANAGEMENT AND PORTFOLIO OPTIMIZATION,,,Open MIND,2025
c759041ceebc,Research on Financial Market Prediction Model Based on Big Data and Quantum Computing,10.1142/s2010324724400101,https://doi.org/10.1142/s2010324724400101,SPIN,2024
c7db741770a8,Quantum-Assisted AI for Speeding up Large-Scale Data Processing,10.63530/ijcsitr_2022_03_01_13,https://doi.org/10.63530/ijcsitr_2022_03_01_13,,2022
c8c709dc67c3,Quantum synergy in peptide folding: A comparative study of CVaR-variational quantum eigensolver and molecular dynamics simulation,10.1016/j.ijbiomac.2024.133033,https://doi.org/10.1016/j.ijbiomac.2024.133033,International Journal of Biological Macromolecules,2024
c94ec3a9d152,A dual-phase deep learning framework for advanced phishing detection using the novel OptSHQCNN approach,10.7717/peerj-cs.3014,https://doi.org/10.7717/peerj-cs.3014,Peerj Computer Science,2025
cde1c896dc3c,Quantum Machine Learning for Finance,,,arXiv.org,2021
cded9dd64213,"Variational Quantum Algorithms in Anomaly Detection, Fraud Indicator Identification, Credit Scoring, and Stock Price Prediction",10.1007/978-981-97-3302-6_39,https://doi.org/10.1007/978-981-97-3302-6_39,Lecture notes in networks and systems,2024
ced20dbb381f,"Real device experiment data of the paper ""Hybrid Quantum-Classical Neural Networks for Few-Shot Credit Risk Assessment""",10.5281/zenodo.17563505,https://doi.org/10.5281/zenodo.17563505,Zenodo (CERN European Organization for Nuclear Research),2025
cf9049abcad1,Quantum-Enhanced Graph Analytics: A Hybrid AI Framework for Seller Fraud Detection in Online Marketplaces,10.64206/99ssyx46,https://doi.org/10.64206/99ssyx46,"Stem Cell, Artificial Intelligence and Data Science Journal",2025
d0568e395fbf,11 A review of different techniques and challenges of quantum computing in various applications,10.1515/9783110798159-011,https://doi.org/10.1515/9783110798159-011,,2023
d18096ef8f4c,Financial Portfolio Optimization: a QUBO Formulation for Sharpe Ratio Maximization,,,,2023
d1d94604a9f6,Quantum Monte Carlo simulations,10.1016/bs.adcom.2025.07.008,https://doi.org/10.1016/bs.adcom.2025.07.008,Advances in Computers,2026
d2987e36ebc7,Supervised Question Classification on SelQA Dataset Using Variational Quantum Classifiers,10.1007/978-981-19-3679-1_60,https://doi.org/10.1007/978-981-19-3679-1_60,Lecture notes in networks and systems,2022
d3580aed27bb,Advancing Financial Decision-Making through Quantum Computing and Cloud-Based AI Models: A Comparative Analysis of Predictive Algorithms,10.70179/gbwxre90,https://doi.org/10.70179/gbwxre90,Journal of Artificial Intelligence and Big Data Disciplines,2024
d429e0713a3d,Quantum Computing in Option Pricing,10.26204/kluedo/9328,https://doi.org/10.26204/kluedo/9328,Publication Server of Kaiserslautern University of Technology (Kaiserslautern University of Technology),2025
d7449b1ba0c5,Improving credit card transaction fraud detection using CVQBoosting,,,Singapore Management University Institutional Knowledge (InK) (Singapore Management University),2026
da5f74409827,Integrating Emerging Technologies for Organizational Agility,10.4018/979-8-3373-6207-6.ch003,https://doi.org/10.4018/979-8-3373-6207-6.ch003,,2025
