paper_id,decision_reviewer_A,decision_reviewer_B,conflict,final_decision,reason_code,notes
c1099bb22b6f,exclude,,no,exclude,,None
0d2454aaf458,exclude,,no,exclude,,None
fecec04a1ab0,exclude,,no,exclude,,None
0757b9aa9a3b,include,,no,include,,None
342ce43a11d1,include,,no,include,,None
8154d6cc12dd,include,,no,include,,None
8e539653be75,exclude,,no,exclude,,None
33968c404556,include,,no,include,,None
f92cf78ba56a,include,,no,include,,None
83ba78d57d7a,exclude,,no,exclude,,None
1312e9d3c55e,include,,no,include,,None
f246d51fa598,exclude,,no,exclude,,None
1d8ad018acb3,exclude,,no,exclude,,None
2cbd6706f6b1,exclude,,no,exclude,,None
f3d71b5426da,exclude,,no,exclude,,None
b69e5fca1ee6,include,,no,include,,None
fecff5249e72,include,,no,include,,None
0fb65bb44954,include,,no,include,,None
d2fc456ed2ef,exclude,,no,exclude,,None
e024cbc42148,exclude,,no,exclude,,None
27e1a6f1a617,exclude,,no,exclude,,None
afa84e1d94cf,include,,no,include,,None
bb8d6c141f2d,include,,no,include,,None
a9e56ea93735,include,,no,include,,None
1fd00324cd54,exclude,,no,exclude,,None
ba632b96a4ab,exclude,,no,exclude,,None
0608ad48d5b8,include,,no,include,,None
bc747da36ec3,exclude,,no,exclude,,None
c408224c2f59,include,,no,include,,None
99a6d182ef61,exclude,,no,exclude,,None
6b2faf1b44be,exclude,,no,exclude,,None
cad5f398ac33,exclude,,no,exclude,,None
0251db69a427,exclude,,no,exclude,,None
9d73bcad4f31,exclude,,no,exclude,,None
dd64e4b7315d,exclude,,no,exclude,,None
638362b3ffe7,exclude,,no,exclude,,None
17bdd7cd3645,exclude,,no,exclude,,None
0ecfe9c0fed7,exclude,,no,exclude,,None
1c6753d6cc49,exclude,,no,exclude,,None
0fbbd55020b8,exclude,,no,exclude,,None
58a29f9f57a7,include,,no,include,,None
9636cfb13bd3,include,,no,include,,None
9828a3f0cc54,exclude,,no,exclude,,None
ea49de660a56,exclude,,no,exclude,,None
646bd6bbd935,include,,no,include,,None
b94d98f5a637,include,,no,include,,None
32ecaf60c172,exclude,,no,exclude,,None
11807719b419,exclude,,no,exclude,,None
8317f652cb5b,exclude,,no,exclude,,None
4c43abf66c3f,exclude,,no,exclude,,None
08f334ce0e4a,exclude,,no,exclude,,None
6ddfa1f3003e,exclude,,no,exclude,,None
ebc427ff9eca,include,,no,include,,None
faa35546e8cc,exclude,,no,exclude,,None
78b97b2dbd8e,include,,no,include,,None
6278f0d22ba5,include,,no,include,,None
9d630c640e03,exclude,,no,exclude,,None
c233bf88de0f,include,,no,include,,None
69b8b36d8aad,include,,no,include,,None
32f23740c07f,include,,no,include,,None
bb719c33a7f1,include,,no,include,,None
a7a61fc28aca,exclude,,no,exclude,,None
db97f2d47914,exclude,,no,exclude,,None
a85f52d4b8a6,exclude,,no,exclude,,None
d2d3ddddcdf5,exclude,,no,exclude,,None
075a4a34de90,include,,no,include,,None
5c33263b17fa,exclude,,no,exclude,,None
febd4bc8234f,exclude,,no,exclude,,None
dee8fbba0c43,exclude,,no,exclude,,None
f9f5bab30bd2,exclude,,no,exclude,,None
a4c29a22413b,include,,no,include,,None
1b63c3136291,include,,no,include,,None
a682a2680c67,exclude,,no,exclude,,None
a3a5f4b6652a,exclude,,no,exclude,,None
d1df3a9439aa,exclude,,no,exclude,,None
b6063998e65d,exclude,,no,exclude,,None
4bfc5097b321,exclude,,no,exclude,,None
ef4d3e6b588d,exclude,,no,exclude,,None
70c24af033e9,exclude,,no,exclude,,None
0a3b3b5c04b3,exclude,,no,exclude,,None
25a848404367,include,,no,include,,None
1d16f793a68b,include,,no,include,,None
cf14d9567612,exclude,,no,exclude,,None
fd5b3f400773,include,,no,include,,None
e2b52eb94d8a,exclude,,no,exclude,,None
3fbbed58fd08,exclude,,no,exclude,,None
e4feebe7b14f,exclude,,no,exclude,,None
38950e66dbca,exclude,,no,exclude,,None
bf2cc33420c9,exclude,,no,exclude,,None
e21a6b5e0cdf,exclude,,no,exclude,,None
7e3bc9e2594c,include,,no,include,,None
9c6fbe67140b,exclude,,no,exclude,,None
5ad6c9b69140,exclude,,no,exclude,,None
67d46e29ec7f,include,,no,include,,None
8a2a16ffc826,include,,no,include,,None
e366a47d08de,include,,no,include,,None
66b4a51889c0,include,,no,include,,None
3e373f43ba5b,include,,no,include,,None
6b1e07ccfd3b,exclude,,no,exclude,,None
e0749294c772,exclude,,no,exclude,,None
aa8fb33fb90f,exclude,,no,exclude,,None
934b40a3be0e,exclude,,no,exclude,,None
b2e3a85eb805,exclude,,no,exclude,,None
f04832263658,exclude,,no,exclude,,None
a01f6e902e50,include,,no,include,,None
9105b7dc6da8,exclude,,no,exclude,,None
ebc4087b5ca1,include,,no,include,,None
55496bcdeaa7,include,,no,include,,None
6e722ac4e566,exclude,,no,exclude,,None
ef9db5fc8faa,include,,no,include,,None
862fc759b55d,include,,no,include,,None
f3c6fc33baed,exclude,,no,exclude,,None
d0556bbc1140,exclude,,no,exclude,,None
e11c6b7278cc,exclude,,no,exclude,,None
4003a1c76442,exclude,,no,exclude,,None
0eb7690657f2,include,,no,include,,None
3c1b7774da65,include,,no,include,,None
82d10e9e2eb0,exclude,,no,exclude,,None
8289cf07ede2,exclude,,no,exclude,,None
345a395b7e1d,exclude,,no,exclude,,None
9668d3ad2549,exclude,,no,exclude,,None
1938aae185de,include,,no,include,,None
9226536b2e0a,exclude,,no,exclude,,None
79be4656d153,exclude,,no,exclude,,None
4dc0afe28e96,exclude,,no,exclude,,None
ac9a031452bb,include,,no,include,,None
7aa1b9e404ff,exclude,,no,exclude,,None
46db6505e091,include,,no,include,,None
bc8d838c7545,include,,no,include,,None
a9e4b00c1fae,include,,no,include,,None
f40495f75814,exclude,,no,exclude,,None
4018b4409ee2,exclude,,no,exclude,,None
eaec69b9c8b8,exclude,,no,exclude,,None
1b7d8c497d7d,include,,no,include,,None
929130f24536,exclude,,no,exclude,,None
da9be7ed95cb,exclude,,no,exclude,,None
3bd0da5c69ac,include,,no,include,,None
672e7e837cd2,exclude,,no,exclude,,None
3432da9937d2,include,,no,include,,None
08eee686bc5d,exclude,,no,exclude,,None
2fa8a733b41d,include,,no,include,,None
88544fb88b86,exclude,,no,exclude,,None
ae6fc6610fad,exclude,,no,exclude,,None
6577c299ef5b,exclude,,no,exclude,,None
cc92ea951274,exclude,,no,exclude,,None
3af2f0129818,exclude,,no,exclude,,None
7e636e790901,include,,no,include,,None
6efded9e824a,exclude,,no,exclude,,None
130e57f7f90b,exclude,,no,exclude,,None
d16c5ab71ea8,include,,no,include,,None
590bb868b4e0,include,,no,include,,None
5349cca855f9,exclude,,no,exclude,,None
ce2db00aac7a,include,,no,include,,None
8f3a07d3b0be,exclude,,no,exclude,,None
4cb3544a3145,exclude,,no,exclude,,None
44f1a392fb06,exclude,,no,exclude,,None
407160a23d35,exclude,,no,exclude,,None
7865394eafd4,exclude,,no,exclude,,None
9cc2ae74541c,exclude,,no,exclude,,None
7fbd1cbbbd8a,exclude,,no,exclude,,None
24e78fd643e4,exclude,,no,exclude,,None
52b948ec890d,include,,no,exclude,duplicate,None; Merged into 9700e75505fd
b7810a7c699b,include,,no,include,,None
b0c1a4a6612b,exclude,,no,exclude,,None
dfe7c7ebfb9f,include,,no,include,,None
cd9b7c83ff08,exclude,,no,exclude,,None
e4ff7159708b,include,,no,include,,None
c8da28c1c8fb,exclude,,no,exclude,,None
5f1fe4a86f15,exclude,,no,exclude,,None
0fcc59501da7,exclude,,no,exclude,,None
01877ad38ab2,include,,no,include,,None
076cb93860b0,include,,no,include,,None
7cca3733d8a8,exclude,,no,exclude,,None
a4cb146201fc,exclude,,no,exclude,,None
63287a0e96b2,include,,no,include,,None
27034900f5a5,exclude,,no,exclude,,None
9c6c58cb3936,exclude,,no,exclude,,None
d01f4f0b8c48,exclude,,no,exclude,,None
7540346e79ad,include,,no,include,,None
a64e9d084306,include,,no,include,,None
455f0fa41521,include,,no,include,,None
95ecf8c43fd1,include,,no,include,,None
7a60635303c5,exclude,,no,exclude,,None
b5d50825c611,exclude,,no,exclude,,None
3d23dae5f571,exclude,,no,exclude,,None
ab8e6645a46d,exclude,,no,exclude,,None
0d9a52ea89bb,exclude,,no,exclude,,None
9c24fb97051a,exclude,,no,exclude,,None
298643846a19,exclude,,no,exclude,,None
69bfce9095d0,include,,no,include,,None
30582038a7ba,include,,no,include,,None
d193e917c94a,exclude,,no,exclude,,None
b87ae3696db5,exclude,,no,exclude,,None
ef99551dab0f,include,,no,include,,None
14b3e6b32874,include,,no,include,,None
47412220e1bb,include,,no,include,,None
9405b3330b09,include,,no,include,,None
56176dc5f8a2,include,,no,include,,None
6613157192db,exclude,,no,exclude,,None
d4bfb871e057,exclude,,no,exclude,,None
461da150d7a1,exclude,,no,exclude,,None
81bc9b813730,exclude,,no,exclude,,None
089c6f24ca0d,exclude,,no,exclude,,None
32d5543379eb,exclude,,no,exclude,,None
584ba865df5a,exclude,,no,exclude,,None
11f5409087a7,exclude,,no,exclude,,None
0030bd185e0d,include,,no,include,,None
dbe897aaf668,exclude,,no,exclude,,None
929a56946fcd,exclude,,no,exclude,,None
0a96ec74c59f,include,,no,include,,None
c60694a1e2ed,include,,no,include,,None
b10591681791,include,,no,include,,None
0113fbe5c06a,exclude,,no,exclude,,None
bc7abe57bcdd,include,,no,include,,None
40e4c7fdd4ac,include,,no,include,,None
7c795b799d02,include,,no,include,,None
774d2b8eb9f8,include,,no,include,,None
c7db741770a8,include,,no,include,,None
22432791f9c5,exclude,,no,exclude,,None
374d8058ad85,include,,no,include,,None
c049d61f8620,exclude,,no,exclude,,None
a538cd2dc13c,include,,no,include,,None
7c795b799d02,include,,no,include,,None
f117a2707092,exclude,,no,exclude,,None
f7379dd8f3f4,exclude,,no,exclude,,None
b8ce6b6f3c9f,exclude,,no,exclude,,None
6419e57e899d,exclude,,no,exclude,,None
c982f91c8133,exclude,,no,exclude,,None
fcc3e3efef2d,exclude,,no,exclude,,None
6450f5303004,exclude,,no,exclude,,None
e0666183e1e5,exclude,,no,exclude,,None
b6bdf9133adb,exclude,,no,exclude,,None
02c3bbe4a6e2,include,,no,include,,None
68b9ec9dea63,include,,no,include,,None
c7c7d7851588,include,,no,include,,None
927cd5441d29,exclude,,no,exclude,,None
cbc2c6bdaac9,exclude,,no,exclude,,None
c8349a814971,exclude,,no,exclude,,None
15b041eb9303,exclude,,no,exclude,,None
86374a343c3f,exclude,,no,exclude,,None
0563cb08973b,exclude,,no,exclude,,None
64a4167a442c,exclude,,no,exclude,,None
ad0844abb348,include,,no,include,,None
d2987e36ebc7,include,,no,include,,None
b80223eb276b,exclude,,no,exclude,,None
b3543c214d69,include,,no,include,,None
50dd69e3520f,exclude,,no,exclude,,None
cca26b715202,exclude,,no,exclude,,None
0e891bc16c5d,exclude,,no,exclude,,None
2b34eb642f89,include,,no,include,,None
722228332a44,exclude,,no,exclude,,None
5a14221c82c6,include,,no,include,,None
5e9b7cd8212d,exclude,,no,exclude,,None
8bab413e1a62,exclude,,no,exclude,,None
f2cc26d15d23,exclude,,no,exclude,,None
1be7c19fc967,include,,no,include,,None
196d41c96981,exclude,,no,exclude,,None
196d41c96981,exclude,,no,exclude,,None
a093bbb71781,exclude,,no,exclude,,None
a2759a3675e2,exclude,,no,exclude,,None
13cafedeef93,exclude,,no,exclude,,None
223c1b7557b2,exclude,,no,exclude,,None
0f260de3f81e,exclude,,no,exclude,,None
47f4148f90dd,include,,no,include,,None
4ee4d5f63858,include,,no,include,,None
1d447960b666,exclude,,no,exclude,,None
be11414e791a,exclude,,no,exclude,,None
5081ec6b6068,include,,no,include,,None
8dad17700137,include,,no,include,,None
362928c90594,exclude,,no,exclude,,None
2c82af493007,exclude,,no,exclude,,None
9629fc8c96a9,exclude,,no,exclude,,None
b8ac945260d6,exclude,,no,exclude,,None
d74307dc455a,exclude,,no,exclude,,None
926ea4a824f5,exclude,,no,exclude,,None
01a1ecaddb94,include,,no,include,,None
337857fcde38,exclude,,no,exclude,,None
0605d83e5e91,exclude,,no,exclude,,None
d05bf542e350,include,,no,include,,None
80690e1e30a0,exclude,,no,exclude,,None
f364fabc925a,exclude,,no,exclude,,None
8fccc6cb2db6,include,,no,include,,None
81f92de64876,include,,no,include,,None
7a60635303c5,exclude,,no,exclude,,None
183bc2a9f01c,exclude,,no,exclude,,None
c5fa20e739f7,include,,no,include,,None
696344c02470,exclude,,no,exclude,,None
7e5d0a8fc172,include,,no,include,,None
aaa6679ab061,exclude,,no,exclude,,None
34f592e33460,exclude,,no,exclude,,None
69eb4bd3076c,exclude,,no,exclude,,None
6a0352d909a7,include,,no,include,,None
ef624ce0a9a0,exclude,,no,exclude,,None
c3a30470def2,exclude,,no,exclude,,None
b10675522f25,exclude,,no,exclude,,None
26668f5bb362,include,,no,include,,None
b43110ee807d,include,,no,include,,None
22e631b9cf0d,exclude,,no,exclude,,None
4ef2eafeedc0,exclude,,no,exclude,,None
9170a0c2d3a2,include,,no,include,,None
8446b73a8c0d,exclude,,no,exclude,,None
37f43983f4d2,include,,no,include,,None
f35b471dd0e9,exclude,,no,exclude,,None
d8858dd025e5,exclude,,no,exclude,,None
198e5586ccec,exclude,,no,exclude,,None
7cbecd422cca,exclude,,no,exclude,,None
272fc6ffdcaa,include,,no,include,,None
a87c440a68c8,exclude,,no,exclude,,None
125c9ea98e5c,exclude,,no,exclude,,None
262d95d79137,include,,no,include,,None
8b6f0dbd14a8,exclude,,no,exclude,,None
9405b3330b09,exclude,,no,exclude,,None
39c957313bd1,exclude,,no,exclude,,None
111682b0b032,exclude,,no,exclude,,None
a934c86420c1,include,,no,include,,None
5f7cc73a1b05,exclude,,no,exclude,,None
fb6489d82fd1,exclude,,no,exclude,,None
5413b7728054,include,,no,include,,None
855c16c86b49,include,,no,include,,None
c096076c7cb6,exclude,,no,exclude,,None
ac353828bbe2,exclude,,no,exclude,,None
cd942e3fb57c,exclude,,no,exclude,,None
9c053d22e715,exclude,,no,exclude,,None
9590c91714f4,exclude,,no,exclude,,None
0d34d98ad2bf,exclude,,no,exclude,,None
ca17c4baa8d1,include,,no,include,,None
78ede1241ab1,exclude,,no,exclude,,None
722ec8f0e5c6,exclude,,no,exclude,,None
4366f066ae6a,exclude,,no,exclude,,None
2cec53ded6db,exclude,,no,exclude,,None
775d4b298ecd,include,,no,include,,None
f0497a49a474,exclude,,no,exclude,,None
0224eb73ab74,exclude,,no,exclude,,None
aa8d930f4f4f,include,,no,include,,None
36cd7ccae10c,include,,no,include,,None
f7b9fc618725,exclude,,no,exclude,,None
30bf6716fa3d,exclude,,no,exclude,,None
b1ac2664cd53,exclude,,no,exclude,,None
5bb38201b7ae,include,,no,include,,None
292400fdfae6,include,,no,include,,None
b6a55230434d,include,,no,exclude,duplicate,None; Merged into d919ba675da3
6d0228254380,exclude,,no,exclude,,None
9e79a3ba95a4,include,,no,include,,None
e1ab375ffe44,include,,no,include,,None
0df7a9f2fffd,include,,no,include,,None
667ca5a60b35,exclude,,no,exclude,,None
f6c404e63d0f,include,,no,include,,None
351b5122b08d,exclude,,no,exclude,,None
5b1f302ad470,exclude,,no,exclude,,None
54991ed1926b,exclude,,no,exclude,,None
bf6bfac8ba8f,exclude,,no,exclude,,None
087b5e1aaad0,exclude,,no,exclude,,None
cd5dc35d5f39,include,,no,include,,None
fddc282dba6f,include,,no,include,,None
0b26c671794d,exclude,,no,exclude,,None
9bcda26ba785,exclude,,no,exclude,,None
75a7b04fa681,include,,no,include,,None
b4956e6c6ecb,exclude,,no,exclude,,None
087f9ed32b64,exclude,,no,exclude,,None
ced20dbb381f,include,,no,include,,None
e8df9f255ba8,exclude,,no,exclude,,None
f3cb59fe38ac,include,,no,include,,None
814040fcfdb1,include,,no,include,,None
c6d03068fd05,include,,no,include,,None
296dd193c78f,include,,no,include,,None
031da10ceb40,exclude,,no,exclude,,None
ba9b439040f0,include,,no,include,,None
196d41c96981,exclude,,no,exclude,,None
e6d5993eabdd,include,,no,include,,None
3fe31dea1f88,include,,no,exclude,duplicate,None; Merged into c7d33a63a50e
b28d65cd1ffb,exclude,,no,exclude,,None
88e1fac438e9,include,,no,include,,None
4dc6746d80a2,include,,no,include,,None
72f77ffe28a5,exclude,,no,exclude,,None
a326ebb75ee1,include,,no,include,,None
0cd957e223ad,exclude,,no,exclude,,None
9ff48f150767,exclude,,no,exclude,,None
d05bf542e350,include,,no,include,,None
5ef766898f45,exclude,,no,exclude,,None
cef74a3d2c40,exclude,,no,exclude,,None
